00:35:15-{49.0: 8742920, 50.0: 4662511, 51.0: 292555, 52.0: 19361632}
02:05:11-{47.0: 16700, 48.0: 25666, 49.0: 8037012, 50.0: 4639589}
03:22:39-{48.0: 12184, 49.0: 6978616, 50.0: 4287054, 51.0: 142555}
05:16:03-{47.0: 28223, 49.0: 2749416, 50.0: 4159756, 51.0: 142555}
05:36:01-{49.0: 1324294, 50.0: 4849756, 51.0: 142555, 52.0: 16251834}
07:22:54-{47.0: 14119, 49.0: 8225, 50.0: 439, 51.0: 30000}
09:12:47-{48.0: 50869, 50.0: 471854, 51.0: 597697, 52.0: 9476318}
11:01:08-{49.0: 9736, 50.0: 499942, 51.0: 1422751, 52.0: 9276787}
12:04:44-{49.0: 49526, 50.0: 903452, 51.0: 632155, 52.0: 8447153}
13:28:06-{49.0: 187963, 50.0: 833577, 51.0: 3083671, 52.0: 8167651}
14:44:59-{49.0: 10158, 50.0: 1288256, 51.0: 3019870, 52.0: 8219065}
16:07:45-{50.0: 3877, 51.0: 2157526, 52.0: 7490458, 53.0: 235490}
17:03:49-{49.0: 118742, 50.0: 713026, 51.0: 1560161, 52.0: 6844934}
18:02:17-{49.0: 2191920, 50.0: 4412447, 51.0: 863117, 52.0: 6619341}
19:17:28-{49.0: 1028425, 50.0: 2848379, 51.0: 3393159, 52.0: 6336051}
20:37:09-{49.0: 2255463, 50.0: 5776801, 51.0: 3083380, 52.0: 6142838}
21:04:27-{48.0: 5000, 49.0: 179518, 50.0: 10714392, 51.0: 4100082}
21:53:09-{49.0: 16294, 50.0: 858552, 51.0: 3831063, 52.0: 6078606}
23:58:19-{50: 25131, 51: 10764695, 52: 7544789, 53: 4982446}
23:59:58-{50: 12076, 51: 11069926, 52: 7527756, 53: 4980439}
