00:01:50-{54.0: 222842, 55.0: 734232, 56.0: 2664038, 57.0: 13975323}
01:01:29-{54.0: 320753, 55.0: 1262475, 56.0: 5326682, 57.0: 10983952}
03:08:37-{54.0: 16498, 55.0: 94141, 56.0: 5357706, 57.0: 3032894}
04:12:20-{55.0: 262999, 56.0: 14624434, 57.0: 2219842, 58.0: 16981825}
06:19:38-{55.0: 43, 56.0: 109732, 57.0: 2906401, 58.0: 16696261}
08:54:21-{54.0: 1048535, 55.0: 1886530, 56.0: 365701, 57.0: 3959958}
09:57:49-{53.0: 1000, 54.0: 876920, 55.0: 130457, 56.0: 913799}
13:08:17-{54.0: 451900, 55.0: 410456, 56.0: 6945323, 57.0: 3045073}
13:11:29-{54.0: 451248, 55.0: 338799, 56.0: 6838467, 57.0: 3045073}
14:15:10-{54.0: 720551, 55.0: 927607, 56.0: 9618461, 57.0: 3145073}
15:18:55-{55.0: 2854, 56.0: 7598353, 57.0: 3305073, 58.0: 2644217}
16:22:37-{54.0: 739031, 55.0: 679654, 56.0: 6848864, 57.0: 3265073}
17:26:23-{54.0: 333514, 55.0: 1252995, 56.0: 4909442, 57.0: 5313236}
18:29:57-{54.0: 89000, 55.0: 243542, 56.0: 5470709, 57.0: 5309635}
19:33:34-{54.0: 131766, 55.0: 2006032, 56.0: 7374569, 57.0: 2192335}
21:40:54-{55.0: 6377627, 56.0: 16090924, 57.0: 3445409, 58.0: 2260635}
23:19:07-{54.0: 46049, 55.0: 2141471, 56.0: 24296357, 57.0: 3556728}
