00:03:14-{49: 20000, 50: 90470, 51: 11044896, 52: 7472780}
00:04:22-{50: 157468, 51: 11041460, 52: 7470628, 53: 4972591}
00:20:04-{49: 5000, 50: 196572, 51: 2942703, 52: 7363636}
00:21:55-{50: 133191, 51: 2857811, 52: 7363636, 53: 13221777}
00:22:33-{49: 126147, 50: 90557, 51: 2843918, 52: 7363636}
00:39:41-{49: 5000, 50: 76554, 51: 2497330, 52: 7121963}
00:42:53-{50: 11418, 51: 2387456, 52: 7067119, 53: 13272163}
00:49:21-{51: 2351099, 52: 7087540, 53: 13252084, 54: 1008054}
03:13:25-{50: 9917, 51: 9980, 52: 5542908, 53: 5034072}
04:17:17-{49: 947670, 50: 23687, 51: 36742, 52: 5182392}
06:24:16-{50: 111787, 51: 847853, 52: 4374376, 53: 4921582}
08:50:13-{51: 15521, 52: 2110249, 53: 10974812, 54: 10100609}
08:52:19-{52: 1962667, 53: 10927583, 54: 10100609, 55: 20194457}
08:56:44-{50: 16673, 52: 1576591, 53: 10757126, 54: 10100609}
13:05:54-{51: 6315498, 52: 3248207, 53: 2595935, 54: 9722675}
13:46:55-{50: 14939, 51: 5784164, 52: 3091424, 53: 1365297}
15:04:43-{50: 600783, 51: 6117097, 52: 3042594, 53: 8312558}
15:58:08-{51: 5081130, 52: 3019727, 53: 8412558, 54: 9732675}
16:05:33-{50: 5699, 51: 4986730, 52: 3019727, 53: 8412558}
16:13:07-{50: 27100, 51: 4370738, 52: 3019727, 53: 8412558}
16:27:32-{50: 42763, 51: 3884274, 52: 3019727, 53: 8412558}
16:35:55-{50: 303000, 51: 3289823, 52: 2887024, 53: 8412558}
17:45:26-{50: 111490, 51: 1443700, 52: 2299167, 53: 8409017}
18:35:49-{50: 53301, 51: 1726079, 52: 1830544, 53: 7807637}
18:45:54-{50: 15722, 51: 8078448, 52: 24539, 53: 7702537}
18:55:26-{50: 30365, 51: 7856745, 52: 20000, 53: 7557891}
