00:04:12-{1: [48, 56430], 2: [49, 7362979], 3: [50, 5585327], 4: [51, 11319827]}
00:05:34-{1: [49, 7280812], 2: [50, 5565345], 3: [51, 9839478], 4: [52, 779414]}
01:00:34-{1: [48, 39000], 2: [49, 544213], 3: [50, 1213502], 4: [51, 6627337]}
01:04:22-{1: [49, 470496], 2: [50, 1188322], 3: [51, 6652337], 4: [52, 7959368]}
02:52:20-{1: [47, 107506], 2: [48, 26073], 3: [49, 1851884], 4: [50, 2519]}
03:14:09-{1: [48, 40000], 2: [49, 1246200], 3: [50, 11], 4: [51, 1338637]}
03:37:11-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
03:41:55-{1: [49, 14656], 2: [50, 71632], 3: [51, 1117672], 4: [52, 7667990]}
03:52:43-{1: [49, 27875], 2: [50, 99360], 3: [51, 958027], 4: [52, 7667990]}
04:13:40-{1: [50, 26891], 2: [51, 622532], 3: [52, 7667990], 4: [53, 12142376]}
05:15:36-{1: [48, 6692], 2: [49, 24650], 3: [50, 122448], 4: [51, 1622812]}
05:35:10-{1: [49, 20000], 2: [50, 81752], 3: [51, 1557275], 4: [52, 7635629]}
05:46:46-{1: [51, 1019250], 2: [52, 7629903], 3: [53, 12133900], 4: [54, 8262384]}
05:58:03-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
06:01:12-{1: [51, 38914], 2: [52, 7613702], 3: [53, 12133900], 4: [54, 8262384]}
06:11:43-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
06:19:46-{1: [49, 378652], 2: [50, 10000], 3: [51, 3321038], 4: [52, 7414109]}
06:42:58-{1: [51, 2511550], 2: [52, 7371700], 3: [53, 9641125], 4: [54, 8262384]}
08:51:05-{1: [49, 10000], 2: [50, 6735], 3: [51, 8198369], 4: [52, 6689330]}
09:01:39-{1: [50, 36969], 2: [51, 8150908], 3: [52, 6601849], 4: [53, 9184322]}
09:17:29-{1: [51, 7708540], 2: [52, 6469409], 3: [53, 9184126], 4: [54, 8232279]}
09:38:06-{1: [51, 4007768], 2: [52, 6509409], 3: [53, 9184111], 4: [54, 8232279]}
09:48:40-{1: [50, 38426], 2: [51, 2108831], 3: [52, 6509263], 4: [53, 9184111]}
10:59:33-{1: [51, 1033567], 2: [52, 14023855], 3: [53, 299250], 4: [54, 8038509]}
11:10:12-{1: [51, 665293], 2: [52, 14327032], 3: [53, 299250], 4: [54, 8038509]}
12:03:05-{1: [51, 830584], 2: [52, 13637838], 3: [53, 290839], 4: [54, 8044509]}
12:07:29-{1: [51, 419497], 2: [52, 13597009], 3: [53, 290839], 4: [54, 8044509]}
12:18:04-{1: [51, 134208], 2: [52, 13533740], 3: [53, 271310], 4: [54, 8044509]}
12:56:08-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
12:56:42-{1: [51, 6842429], 2: [52, 12666552], 3: [53, 260363], 4: [54, 8094509]}
13:22:10-{1: [50, 2152], 2: [51, 5207513], 3: [52, 12491822], 4: [53, 375363]}
14:20:16-{1: [50, 92297], 2: [51, 4108906], 3: [52, 12328172], 4: [53, 374863]}
14:30:50-{1: [50, 138422], 2: [51, 4304960], 3: [52, 11979440], 4: [53, 374863]}
14:45:10-{1: [50, 5036722], 2: [51, 3687808], 3: [52, 12259962], 4: [53, 374363]}
14:54:31-{1: [49, 5000], 2: [50, 4704198], 3: [51, 3645094], 4: [52, 11955440]}
15:05:11-{1: [50, 4249616], 2: [51, 3588532], 3: [52, 11965440], 4: [53, 374363]}
18:03:42-{1: [49, 106587], 2: [50, 551013], 3: [51, 4030673], 4: [52, 12677440]}
18:15:19-{1: [50, 3391819], 2: [51, 3290297], 3: [52, 12677440], 4: [53, 983310]}
18:29:00-{1: [49, 152560], 2: [50, 2630449], 3: [51, 2949834], 4: [52, 12757440]}
18:33:29-{1: [49, 80000], 2: [50, 2692679], 3: [51, 3054711], 4: [52, 12757440]}
18:54:04-{1: [49, 209742], 2: [50, 2351580], 3: [51, 3132130], 4: [52, 12777440]}
19:42:36-{1: [49, 60000], 2: [50, 5229976], 3: [51, 3025272], 4: [52, 12787440]}
19:53:30-{1: [50, 4709928], 2: [51, 3559115], 3: [52, 12437440], 4: [53, 1110791]}
20:17:24-{1: [50, 6199165], 2: [51, 4870616], 3: [52, 12787440], 4: [53, 1130235]}
20:48:29-{1: [51, 3832197], 2: [52, 12788440], 3: [53, 873788], 4: [54, 8131605]}
21:34:00-{1: [49, 3273], 2: [50, 87234], 3: [51, 2188812], 4: [52, 12888440]}
21:40:42-{1: [50, 129871], 2: [51, 2585165], 3: [52, 12895440], 4: [53, 4629343]}
21:47:08-{1: [50, 5811], 2: [51, 2192841], 3: [52, 12911940], 4: [53, 4641565]}
